Date,Close
2025-04-04,188.13330078125
2025-04-07,181.2223663330078
2025-04-08,172.19419860839844
2025-04-09,198.58958435058594
2025-04-10,190.17062377929688
2025-04-11,197.89048767089844
2025-04-14,202.25477600097656
2025-04-15,201.87527465820312
2025-04-16,194.0155792236328
2025-04-17,196.72203063964844
2025-04-21,192.9070281982422
2025-04-22,199.47842407226562
2025-04-23,204.33206176757812
2025-04-24,208.09710693359375
2025-04-25,209.00592041015625
2025-04-28,209.8647918701172
2025-04-29,210.9333953857422
2025-04-30,212.22171020507812
2025-05-01,213.04063415527344
2025-05-02,205.08106994628906
2025-05-05,198.62953186035156
2025-05-06,198.25001525878906
2025-05-07,195.99298095703125
2025-05-08,197.2313690185547
2025-05-09,198.27000427246094
2025-05-12,210.7899932861328
2025-05-13,212.92999267578125
2025-05-14,212.3300018310547
2025-05-15,211.4499969482422
2025-05-16,211.25999450683594
2025-05-19,208.77999877929688
2025-05-20,206.86000061035156
2025-05-21,202.08999633789062
2025-05-22,201.36000061035156
2025-05-23,195.27000427246094
2025-05-27,200.2100067138672
2025-05-28,200.4199981689453
2025-05-29,199.9499969482422
2025-05-30,200.85000610351562
2025-06-02,201.6999969482422
2025-06-03,203.27000427246094
2025-06-04,202.82000732421875
2025-06-05,200.6300048828125
2025-06-06,203.9199981689453
2025-06-09,201.4499969482422
2025-06-10,202.6699981689453
2025-06-11,198.77999877929688
2025-06-12,199.1999969482422
2025-06-13,196.4499969482422
2025-06-16,198.4199981689453
2025-06-17,195.63999938964844
2025-06-18,196.5800018310547
2025-06-20,201.0
2025-06-23,201.5
2025-06-24,200.3000030517578
2025-06-25,201.55999755859375
2025-06-26,201.0
2025-06-27,201.0800018310547
2025-06-30,205.1699981689453
2025-07-01,207.82000732421875
